Age of Employee,Employee Attrition Needed,Business Travel,Dept,Education Degree,Emp. No.,Gender,Job Level,Role,Job Satisfaction Rate,Marital Status,Income per month,No. of Companies Worked,Over Time,Salary Growth Rate,Performance Rate,Employment Span,Years At Company,Years In Current Position,Years Since Last Promotion,Duration with Current Manager
25,No,Travel_Rarely,Sales,Marketing,885,Male,2,Sales Executive,1,Married,4256,1,No,12,3,5,5,2,0,3
49,No,Travel_Rarely,Research & Development,Technical Degree,887,Female,1,Research Scientist,1,Married,3580,2,No,16,3,7,4,2,0,2
24,No,Non-Travel,Research & Development,Life Sciences,888,Male,1,Laboratory Technician,4,Married,3162,0,No,17,3,6,5,2,3,4
32,No,Travel_Frequently,Sales,Life Sciences,889,Male,2,Sales Executive,2,Married,6524,1,No,14,3,10,10,8,5,3
38,No,Travel_Rarely,Sales,Marketing,893,Male,1,Sales Representative,2,Married,2899,0,No,19,3,3,2,2,1,2
42,No,Travel_Rarely,Research & Development,Life Sciences,894,Female,2,Laboratory Technician,4,Married,5231,2,Yes,13,3,17,5,3,1,3
31,No,Travel_Rarely,Research & Development,Life Sciences,895,Male,1,Research Scientist,4,Married,2356,3,Yes,19,3,8,6,4,0,2
29,Yes,Travel_Rarely,Sales,Medical,896,Female,1,Sales Representative,3,Divorced,2800,6,Yes,19,3,5,3,2,0,2
53,No,Travel_Rarely,Sales,Marketing,897,Male,4,Sales Executive,4,Married,11836,5,No,14,3,28,2,0,2,2
35,No,Travel_Rarely,Research & Development,Technical Degree,899,Male,3,Manufacturing Director,2,Married,10903,3,No,16,3,16,13,10,4,8
37,No,Travel_Frequently,Sales,Medical,900,Female,1,Sales Representative,4,Married,2973,5,No,15,3,10,5,4,0,0
43,No,Travel_Frequently,Research & Development,Life Sciences,902,Female,2,Healthcare Representative,4,Married,5562,4,No,13,3,12,5,2,2,2
37,No,Non-Travel,Sales,Medical,904,Male,3,Sales Executive,2,Single,7642,1,Yes,13,3,10,10,0,0,9
39,No,Travel_Rarely,Human Resources,Life Sciences,909,Female,2,Human Resources,4,Married,5204,8,No,11,3,13,5,4,0,4
33,No,Travel_Rarely,Human Resources,Human Resources,910,Male,1,Human Resources,2,Divorced,2277,3,Yes,11,3,7,4,3,0,3
29,No,Travel_Rarely,Research & Development,Medical,912,Female,1,Laboratory Technician,4,Divorced,2532,6,No,14,3,8,4,3,0,3
44,No,Travel_Rarely,Research & Development,Life Sciences,913,Male,1,Research Scientist,1,Married,2559,1,Yes,13,3,8,8,7,7,1
28,No,Travel_Rarely,Sales,Medical,916,Male,2,Sales Executive,4,Single,4908,1,No,14,3,4,4,2,0,2
20,Yes,Travel_Rarely,Sales,Medical,922,Female,1,Sales Representative,3,Single,2044,1,No,13,3,2,2,2,0,2
21,Yes,Travel_Rarely,Research & Development,Other,923,Female,1,Research Scientist,4,Single,2693,1,No,19,3,1,1,0,0,0
36,No,Travel_Rarely,Research & Development,Life Sciences,924,Male,2,Healthcare Representative,4,Married,6586,0,Yes,17,3,17,16,8,4,11
47,No,Travel_Rarely,Sales,Life Sciences,925,Female,1,Sales Representative,4,Single,3294,1,Yes,18,3,3,3,2,1,2
22,Yes,Travel_Rarely,Research & Development,Life Sciences,926,Female,2,Manufacturing Director,3,Married,4171,0,Yes,19,3,4,3,2,0,2
41,Yes,Travel_Rarely,Research & Development,Life Sciences,927,Female,1,Laboratory Technician,4,Divorced,2778,4,Yes,13,3,10,7,7,1,0
28,No,Travel_Rarely,Research & Development,Medical,930,Female,1,Research Scientist,3,Divorced,2377,5,No,18,3,6,2,2,2,2
27,No,Travel_Rarely,Research & Development,Life Sciences,933,Female,1,Research Scientist,3,Single,2318,1,No,19,3,1,1,1,0,0
34,No,Travel_Rarely,Research & Development,Life Sciences,934,Male,1,Laboratory Technician,2,Divorced,2008,1,No,14,3,1,1,0,1,0
42,No,Travel_Rarely,Sales,Medical,936,Female,2,Sales Executive,3,Single,6244,7,No,17,3,10,5,4,0,3
33,No,Travel_Rarely,Research & Development,Other,939,Male,1,Research Scientist,1,Single,2799,3,Yes,11,3,6,3,2,0,2
58,No,Travel_Rarely,Research & Development,Technical Degree,940,Female,3,Healthcare Representative,2,Divorced,10552,2,Yes,13,3,24,6,0,0,4
31,No,Travel_Rarely,Sales,Life Sciences,941,Male,1,Sales Representative,3,Married,2329,3,No,15,3,13,7,7,5,2
48,No,Travel_Rarely,Research & Development,Medical,945,Male,1,Research Scientist,3,Married,2259,4,No,17,3,13,0,0,0,0
31,No,Non-Travel,Sales,Marketing,947,Female,2,Sales Executive,3,Married,6932,1,No,13,3,9,9,8,0,0
36,No,Travel_Rarely,Research & Development,Other,949,Male,1,Research Scientist,4,Single,4678,2,No,18,3,8,6,2,0,1
38,No,Travel_Rarely,Research & Development,Technical Degree,950,Female,3,Research Director,1,Married,13582,1,No,13,3,15,15,12,5,11
25,Yes,Travel_Rarely,Sales,Marketing,952,Male,1,Sales Representative,2,Married,2413,1,Yes,18,3,1,1,0,0,0
40,No,Travel_Rarely,Sales,Marketing,954,Male,3,Sales Executive,2,Divorced,9705,2,No,12,3,11,1,0,0,0
26,No,Travel_Frequently,Sales,Medical,956,Male,2,Sales Executive,1,Single,4294,1,No,12,3,7,7,7,0,7
19,Yes,Travel_Rarely,Sales,Other,959,Male,1,Sales Representative,2,Single,2121,1,Yes,13,3,1,1,0,0,0
20,Yes,Travel_Rarely,Research & Development,Technical Degree,960,Male,1,Laboratory Technician,1,Single,2973,1,No,19,3,1,1,0,0,0
40,No,Travel_Frequently,Research & Development,Medical,964,Male,1,Research Scientist,2,Divorced,3617,8,Yes,14,3,3,1,1,0,0
32,No,Travel_Rarely,Research & Development,Medical,966,Female,2,Manufacturing Director,1,Married,6725,1,No,12,3,8,8,7,6,3
36,Yes,Travel_Rarely,Sales,Life Sciences,967,Male,3,Sales Executive,4,Married,10325,1,Yes,11,3,16,16,7,3,7
33,No,Travel_Rarely,Research & Development,Life Sciences,969,Female,2,Healthcare Representative,4,Single,6949,0,No,14,3,6,5,0,1,4
45,No,Non-Travel,Research & Development,Life Sciences,972,Male,2,Laboratory Technician,2,Married,4447,1,No,12,3,9,9,7,0,8
29,No,Travel_Frequently,Sales,Technical Degree,974,Female,1,Sales Representative,4,Married,2157,1,No,15,3,3,3,1,0,2
35,No,Travel_Rarely,Sales,Medical,975,Female,2,Sales Executive,3,Married,4601,1,No,16,3,5,5,2,1,0
30,No,Travel_Rarely,Sales,Other,982,Male,3,Sales Executive,3,Divorced,7264,5,No,11,3,10,8,4,7,7
38,No,Non-Travel,Sales,Technical Degree,983,Female,2,Sales Executive,4,Single,5666,1,Yes,13,3,6,5,3,1,3
35,No,Travel_Rarely,Sales,Life Sciences,984,Male,3,Sales Executive,4,Divorced,7823,6,No,13,3,12,10,9,0,8
39,No,Travel_Rarely,Sales,Life Sciences,985,Male,3,Sales Executive,3,Single,7880,0,No,18,3,9,8,7,0,7
40,Yes,Non-Travel,Sales,Life Sciences,986,Female,4,Sales Executive,2,Single,13194,4,Yes,16,3,22,1,0,0,0
36,No,Non-Travel,Sales,Technical Degree,990,Male,2,Sales Executive,4,Divorced,5079,4,No,13,3,12,7,7,0,7
33,No,Travel_Rarely,Research & Development,Life Sciences,995,Female,1,Research Scientist,4,Single,3452,3,No,18,3,5,3,2,0,2
45,No,Travel_Rarely,Research & Development,Medical,996,Female,1,Laboratory Technician,4,Divorced,2270,3,No,14,3,8,5,3,0,2
33,No,Travel_Frequently,Research & Development,Other,998,Female,2,Healthcare Representative,2,Married,5488,1,Yes,13,3,6,6,5,1,2
45,No,Non-Travel,Research & Development,Life Sciences,1002,Male,2,Laboratory Technician,1,Married,3633,1,Yes,15,3,9,9,8,0,8
47,No,Travel_Rarely,Sales,Life Sciences,1003,Female,2,Sales Executive,4,Single,4163,1,Yes,17,3,9,9,0,0,7
30,Yes,Travel_Rarely,Research & Development,Life Sciences,1004,Female,1,Research Scientist,3,Married,2132,4,Yes,11,3,7,5,2,0,1
50,No,Travel_Rarely,Research & Development,Life Sciences,1005,Male,4,Manufacturing Director,3,Married,13973,3,Yes,18,3,22,12,11,1,5
38,No,Travel_Frequently,Research & Development,Medical,1006,Male,1,Research Scientist,3,Married,2684,0,No,17,3,3,2,1,0,2
46,No,Travel_Rarely,Research & Development,Medical,1007,Male,3,Manufacturing Director,3,Divorced,10845,6,No,13,3,13,8,7,0,7
24,No,Travel_Rarely,Research & Development,Medical,1009,Female,2,Manufacturing Director,3,Divorced,4377,1,No,15,3,5,4,2,3,2
31,No,Travel_Frequently,Research & Development,Life Sciences,1011,Female,2,Manufacturing Director,1,Married,4148,1,No,12,3,4,4,3,0,3
18,No,Non-Travel,Research & Development,Life Sciences,1012,Male,1,Research Scientist,4,Single,1051,1,No,15,3,0,0,0,0,0
54,No,Travel_Rarely,Research & Development,Technical Degree,1013,Female,3,Manufacturing Director,3,Married,10739,8,No,11,3,22,10,7,0,8
30,No,Travel_Rarely,Research & Development,Life Sciences,1015,Female,3,Research Director,1,Married,11416,0,Yes,12,3,9,8,7,1,7
20,Yes,Travel_Rarely,Research & Development,Medical,1016,Female,1,Research Scientist,1,Single,2600,1,Yes,15,3,1,1,0,0,0
30,Yes,Travel_Frequently,Research & Development,Medical,1017,Female,1,Laboratory Technician,2,Single,2422,0,No,17,3,4,3,2,1,2
26,No,Travel_Rarely,Research & Development,Medical,1018,Male,2,Manufacturing Director,4,Married,5472,1,No,12,3,8,8,7,1,3
22,No,Travel_Rarely,Research & Development,Life Sciences,1019,Male,1,Laboratory Technician,1,Married,2451,1,No,15,3,4,4,3,1,1
48,No,Travel_Rarely,Research & Development,Life Sciences,1022,Male,2,Healthcare Representative,3,Single,4240,2,No,13,3,19,2,2,2,2
48,No,Travel_Rarely,Research & Development,Life Sciences,1024,Male,3,Healthcare Representative,3,Single,10999,7,No,14,3,27,15,11,4,8
41,No,Travel_Rarely,Research & Development,Medical,1025,Female,2,Manufacturing Director,3,Single,5003,6,No,14,3,8,2,2,2,1
27,No,Travel_Rarely,Research & Development,Life Sciences,1027,Female,2,Manufacturing Director,4,Married,4227,0,No,18,3,4,3,2,2,2
50,No,Travel_Rarely,Research & Development,Life Sciences,1030,Male,1,Laboratory Technician,4,Married,2380,4,No,18,3,8,1,0,0,0
37,Yes,Travel_Rarely,Research & Development,Medical,1033,Female,2,Healthcare Representative,2,Married,4777,5,No,15,3,15,1,0,0,0
55,No,Travel_Frequently,Research & Development,Medical,1034,Male,2,Healthcare Representative,2,Married,6385,3,Yes,14,3,17,8,7,6,7
38,No,Travel_Rarely,Sales,Life Sciences,1036,Male,2,Sales Executive,4,Single,6861,8,Yes,12,3,19,1,0,0,0
26,Yes,Non-Travel,Sales,Medical,1037,Male,2,Sales Executive,1,Single,4969,8,No,18,3,7,2,2,2,2
50,No,Non-Travel,Sales,Life Sciences,1040,Female,2,Sales Executive,3,Married,6347,0,No,12,3,19,18,7,0,13
33,No,Non-Travel,Sales,Life Sciences,1044,Female,1,Sales Representative,4,Single,2342,0,No,19,3,3,2,2,2,2
34,No,Travel_Rarely,Sales,Marketing,1047,Male,2,Sales Executive,4,Divorced,9725,0,No,11,3,16,15,1,0,9
59,No,Travel_Rarely,Sales,Technical Degree,1048,Male,3,Manager,4,Married,11904,3,Yes,14,3,14,6,4,0,4
45,No,Travel_Rarely,Human Resources,Medical,1049,Male,1,Human Resources,2,Single,2177,1,No,16,3,6,6,3,0,4
36,Yes,Travel_Rarely,Research & Development,Other,1052,Male,2,Laboratory Technician,3,Divorced,4834,7,No,14,3,9,1,0,0,0
26,Yes,Travel_Frequently,Research & Development,Life Sciences,1053,Male,1,Research Scientist,1,Married,2042,6,Yes,14,3,6,3,2,1,2
34,No,Travel_Rarely,Sales,Life Sciences,1055,Female,1,Sales Representative,3,Married,2220,1,Yes,19,3,1,1,1,0,0
38,No,Travel_Frequently,Research & Development,Other,1060,Male,1,Research Scientist,3,Married,2821,3,No,16,3,8,2,2,2,2
37,No,Travel_Rarely,Research & Development,Other,1062,Female,2,Healthcare Representative,2,Single,4107,3,No,15,3,8,4,3,0,1
40,No,Travel_Rarely,Sales,Marketing,1066,Male,2,Sales Executive,1,Married,8396,1,No,14,3,8,7,7,7,5
26,No,Travel_Frequently,Research & Development,Medical,1068,Female,1,Research Scientist,3,Divorced,2007,1,No,13,3,5,5,3,1,3
54,No,Travel_Rarely,Sales,Life Sciences,1070,Female,3,Sales Executive,3,Married,10686,6,No,11,3,13,9,4,7,0
56,No,Travel_Frequently,Research & Development,Medical,1071,Female,1,Research Scientist,3,Married,2942,2,No,19,3,18,5,4,0,3
36,No,Travel_Rarely,Research & Development,Medical,1073,Female,3,Manufacturing Director,4,Single,8858,0,No,11,3,15,14,8,7,8
43,No,Travel_Rarely,Sales,Medical,1076,Male,3,Sales Executive,4,Divorced,10798,5,No,13,3,18,1,0,0,0
20,Yes,Travel_Frequently,Sales,Marketing,1077,Female,1,Sales Representative,4,Single,2323,1,Yes,14,3,2,2,2,0,2
21,Yes,Travel_Rarely,Research & Development,Life Sciences,1079,Female,1,Laboratory Technician,1,Single,1416,1,No,13,3,1,1,0,1,0
28,Yes,Non-Travel,Research & Development,Technical Degree,1082,Male,3,Healthcare Representative,1,Single,8722,1,No,12,3,10,10,7,1,9
26,No,Travel_Rarely,Research & Development,Medical,1083,Male,1,Laboratory Technician,1,Married,3955,1,No,16,3,6,5,3,1,3
30,No,Travel_Rarely,Research & Development,Other,1084,Male,2,Manufacturing Director,1,Married,9957,0,No,15,3,7,6,2,0,2
41,No,Travel_Rarely,Research & Development,Technical Degree,1085,Female,1,Research Scientist,3,Married,3376,1,No,13,3,10,10,6,0,8
27,No,Non-Travel,Research & Development,Life Sciences,1094,Male,1,Laboratory Technician,3,Married,4621,1,No,19,3,3,3,2,1,2
55,No,Travel_Frequently,Research & Development,Life Sciences,1096,Male,3,Manufacturing Director,2,Married,10976,3,No,18,3,23,3,2,1,2
28,No,Travel_Rarely,Research & Development,Other,1097,Female,2,Research Scientist,3,Single,3660,3,No,13,3,10,8,7,1,7
33,No,Travel_Rarely,Research & Development,Life Sciences,1099,Male,3,Healthcare Representative,4,Divorced,7119,4,No,15,3,9,3,2,1,2
28,No,Travel_Rarely,Research & Development,Life Sciences,1102,Male,1,Laboratory Technician,3,Divorced,2207,1,No,16,3,4,4,2,2,2
34,No,Travel_Frequently,Research & Development,Life Sciences,1103,Male,2,Healthcare Representative,4,Single,7756,0,No,17,3,7,6,2,0,4
37,No,Travel_Rarely,Sales,Life Sciences,1105,Female,2,Sales Executive,4,Divorced,6694,2,Yes,14,3,8,1,0,0,0
25,Yes,Travel_Rarely,Research & Development,Technical Degree,1106,Male,1,Laboratory Technician,4,Married,3691,1,Yes,15,3,7,7,7,5,6
28,Yes,Travel_Frequently,Research & Development,Medical,1111,Male,1,Laboratory Technician,2,Divorced,2596,1,No,15,3,1,1,0,0,0
50,Yes,Travel_Frequently,Sales,Other,1113,Male,2,Sales Executive,3,Single,4728,3,Yes,14,3,5,0,0,0,0
33,No,Travel_Frequently,Sales,Life Sciences,1114,Female,2,Sales Executive,2,Married,4302,0,No,17,3,4,3,2,0,2
34,No,Non-Travel,Research & Development,Life Sciences,1115,Male,1,Research Scientist,4,Married,2979,3,No,17,3,6,0,0,0,0
45,No,Non-Travel,Sales,Life Sciences,1117,Female,2,Sales Executive,3,Married,5593,1,No,13,3,15,15,10,4,12
52,No,Travel_Rarely,Research & Development,Life Sciences,1118,Male,3,Healthcare Representative,2,Single,10445,7,No,19,3,18,8,6,4,0
38,No,Travel_Rarely,Sales,Marketing,1119,Male,3,Sales Executive,3,Divorced,8740,0,Yes,14,3,9,8,7,2,7
28,No,Travel_Rarely,Research & Development,Medical,1121,Female,3,Manufacturing Director,2,Divorced,7655,0,No,17,3,10,9,7,1,7
38,No,Travel_Rarely,Sales,Marketing,1125,Male,3,Sales Executive,2,Single,7351,7,No,16,3,10,1,0,0,0
43,No,Travel_Frequently,Research & Development,Life Sciences,1126,Female,3,Manufacturing Director,1,Married,10820,8,No,11,3,18,8,7,0,1
21,No,Travel_Rarely,Research & Development,Technical Degree,1131,Female,1,Research Scientist,2,Single,2070,1,Yes,11,3,2,2,2,2,2
31,No,Travel_Frequently,Sales,Life Sciences,1135,Male,1,Sales Representative,4,Married,2791,0,No,12,3,3,2,2,2,2
28,No,Travel_Rarely,Research & Development,Life Sciences,1136,Male,1,Research Scientist,2,Married,3201,0,No,17,3,6,5,3,0,4
35,No,Travel_Frequently,Sales,Marketing,1137,Male,2,Sales Executive,4,Divorced,4968,1,No,11,3,5,5,2,0,2
49,No,Travel_Rarely,Sales,Technical Degree,1138,Male,4,Sales Executive,2,Married,13120,6,No,17,3,22,9,8,2,3
34,No,Travel_Frequently,Research & Development,Life Sciences,1140,Male,2,Manufacturing Director,3,Single,4033,2,No,11,3,5,3,2,0,2
29,No,Travel_Frequently,Research & Development,Life Sciences,1143,Female,1,Research Scientist,2,Divorced,3291,0,No,14,3,8,7,5,1,1
42,No,Travel_Rarely,Research & Development,Medical,1148,Male,2,Laboratory Technician,4,Single,4272,4,No,19,3,16,1,0,0,0
29,No,Travel_Rarely,Research & Development,Medical,1150,Male,2,Manufacturing Director,4,Married,5056,1,Yes,15,3,10,10,7,1,2
38,No,Travel_Rarely,Human Resources,Human Resources,1152,Male,1,Human Resources,3,Married,2844,1,No,13,3,7,7,6,5,0
28,No,Travel_Frequently,Research & Development,Life Sciences,1154,Male,1,Research Scientist,3,Divorced,2703,1,Yes,14,3,3,3,1,0,2
18,Yes,Non-Travel,Research & Development,Medical,1156,Male,1,Laboratory Technician,3,Single,1904,1,No,12,3,0,0,0,0,0
33,Yes,Travel_Rarely,Sales,Marketing,1157,Female,2,Sales Executive,1,Single,8224,0,Yes,17,3,6,5,2,0,3
41,No,Travel_Rarely,Research & Development,Life Sciences,1158,Male,1,Laboratory Technician,4,Married,4766,3,Yes,11,3,6,1,0,0,0
31,Yes,Travel_Frequently,Research & Development,Medical,1160,Male,1,Laboratory Technician,3,Married,2610,1,No,12,3,2,2,2,2,2
37,No,Travel_Rarely,Research & Development,Medical,1161,Female,2,Healthcare Representative,4,Divorced,5731,7,No,13,3,9,6,2,1,3
27,No,Travel_Rarely,Research & Development,Life Sciences,1162,Male,1,Research Scientist,3,Married,2539,1,No,13,3,4,4,2,2,2
35,No,Travel_Rarely,Human Resources,Technical Degree,1164,Male,1,Human Resources,3,Single,4323,1,No,17,3,6,5,4,1,4
29,Yes,Travel_Rarely,Sales,Life Sciences,1165,Female,3,Sales Executive,1,Married,7336,1,No,13,3,11,11,8,3,10
42,No,Travel_Rarely,Sales,Marketing,1171,Male,2,Sales Executive,1,Single,5155,7,No,13,3,9,6,4,1,5
35,No,Travel_Rarely,Research & Development,Medical,1172,Male,1,Laboratory Technician,3,Married,2258,6,No,12,3,10,8,0,1,7
28,Yes,Travel_Rarely,Research & Development,Life Sciences,1175,Female,1,Laboratory Technician,4,Married,2515,1,Yes,11,3,1,1,1,0,0
30,No,Travel_Rarely,Sales,Marketing,1179,Male,2,Sales Executive,3,Married,6578,1,No,18,3,10,10,3,1,4
40,No,Travel_Frequently,Research & Development,Medical,1180,Female,2,Research Scientist,4,Married,4422,3,Yes,13,3,16,1,1,0,0
35,No,Travel_Rarely,Research & Development,Life Sciences,1182,Male,3,Manufacturing Director,2,Divorced,10274,2,No,18,3,15,7,7,6,4
35,No,Travel_Frequently,Research & Development,Other,1185,Male,1,Laboratory Technician,4,Married,2376,1,No,13,3,2,2,2,2,2
43,Yes,Travel_Rarely,Sales,Marketing,1188,Female,2,Sales Executive,3,Single,5346,8,No,13,3,7,4,3,1,3
32,No,Non-Travel,Sales,Life Sciences,1190,Female,1,Sales Representative,1,Divorced,2827,1,No,12,3,1,1,0,0,0
29,No,Travel_Rarely,Research & Development,Medical,1192,Female,1,Laboratory Technician,4,Married,3131,1,No,13,3,10,10,8,0,8
45,No,Travel_Rarely,Research & Development,Medical,1195,Female,1,Research Scientist,3,Married,4477,4,Yes,19,3,7,3,2,0,2
37,No,Travel_Rarely,Research & Development,Life Sciences,1196,Female,2,Manufacturing Director,4,Married,6474,1,No,13,3,14,14,8,3,11
20,No,Travel_Rarely,Research & Development,Life Sciences,1198,Male,1,Laboratory Technician,3,Single,3033,1,No,12,3,2,2,2,1,2
44,Yes,Travel_Rarely,Research & Development,Life Sciences,1200,Male,1,Research Scientist,3,Single,2936,1,Yes,11,3,6,6,4,0,2
29,No,Travel_Rarely,Research & Development,Life Sciences,1202,Female,1,Research Scientist,4,Married,2168,0,Yes,18,3,6,5,4,1,3
22,Yes,Travel_Frequently,Research & Development,Life Sciences,1203,Male,1,Research Scientist,4,Married,2853,0,Yes,11,3,1,0,0,0,0
44,No,Non-Travel,Research & Development,Life Sciences,1206,Male,1,Research Scientist,3,Single,2290,2,No,13,3,6,0,0,0,0
33,No,Travel_Rarely,Human Resources,Human Resources,1207,Male,1,Human Resources,3,Married,3600,1,No,13,3,5,5,4,1,4
41,Yes,Non-Travel,Research & Development,Life Sciences,1210,Male,1,Research Scientist,1,Divorced,2107,6,No,17,3,5,1,0,0,0
30,No,Travel_Rarely,Sales,Life Sciences,1211,Male,2,Sales Executive,1,Divorced,4115,8,No,19,3,8,4,3,0,3
40,No,Travel_Frequently,Sales,Medical,1212,Male,2,Sales Executive,2,Married,4327,5,No,12,3,5,0,0,0,0
28,No,Travel_Rarely,Research & Development,Medical,1216,Male,1,Laboratory Technician,1,Married,3196,1,No,12,3,6,6,5,3,3
35,No,Travel_Rarely,Sales,Life Sciences,1218,Male,2,Sales Executive,1,Married,8966,3,Yes,15,3,15,7,7,1,7
24,Yes,Travel_Rarely,Research & Development,Life Sciences,1219,Female,1,Laboratory Technician,2,Married,2210,1,No,13,3,1,1,0,0,0
33,No,Travel_Frequently,Sales,Medical,1220,Female,2,Sales Executive,3,Married,4539,1,No,12,3,10,10,7,0,1
36,No,Travel_Rarely,Research & Development,Life Sciences,1221,Male,1,Laboratory Technician,3,Divorced,2741,1,No,14,3,7,7,7,1,7
20,No,Travel_Rarely,Sales,Marketing,1226,Male,1,Sales Representative,4,Single,2678,1,No,17,3,2,2,1,2,2
46,No,Travel_Rarely,Research & Development,Technical Degree,1228,Male,2,Manufacturing Director,4,Divorced,7379,2,No,11,3,12,6,3,1,4
42,No,Non-Travel,Human Resources,Medical,1231,Male,2,Human Resources,1,Married,6272,7,No,16,3,10,4,3,0,3
60,No,Travel_Rarely,Sales,Marketing,1233,Male,2,Sales Executive,4,Divorced,5220,0,Yes,18,3,12,11,7,1,9
32,No,Travel_Frequently,Research & Development,Life Sciences,1235,Female,2,Research Scientist,3,Single,4998,4,Yes,14,3,10,8,7,0,7
33,No,Travel_Rarely,Research & Development,Medical,1238,Male,1,Research Scientist,4,Married,2781,0,No,13,3,15,14,10,4,10
40,No,Travel_Rarely,Sales,Technical Degree,1239,Female,2,Sales Executive,2,Divorced,6852,7,No,12,3,7,5,1,1,3
25,No,Travel_Rarely,Sales,Life Sciences,1240,Male,2,Sales Executive,4,Single,4950,0,No,14,3,5,4,3,1,1
42,No,Travel_Frequently,Research & Development,Medical,1242,Female,3,Research Director,1,Married,13191,3,Yes,17,3,20,1,0,0,0
35,No,Non-Travel,Sales,Marketing,1243,Female,3,Sales Executive,4,Married,10377,4,Yes,11,3,16,13,2,4,12
27,No,Travel_Rarely,Research & Development,Life Sciences,1244,Male,1,Research Scientist,1,Married,2235,1,Yes,14,3,9,9,7,6,8
44,No,Travel_Rarely,Research & Development,Life Sciences,1246,Female,1,Research Scientist,4,Married,2011,1,No,13,3,10,10,5,7,7
29,No,Travel_Rarely,Research & Development,Life Sciences,1249,Female,1,Research Scientist,4,Divorced,3760,1,No,15,3,3,3,2,1,2
31,No,Travel_Rarely,Research & Development,Medical,1251,Male,2,Healthcare Representative,1,Married,6833,1,Yes,12,3,6,6,5,0,1
31,No,Travel_Rarely,Research & Development,Medical,1252,Female,2,Healthcare Representative,1,Single,6812,1,No,19,3,10,10,9,1,8
59,No,Travel_Rarely,Sales,Life Sciences,1254,Female,2,Sales Executive,4,Single,5171,5,No,17,3,13,6,1,0,5
36,No,Travel_Frequently,Research & Development,Technical Degree,1257,Male,1,Research Scientist,2,Married,3692,1,No,12,3,12,11,10,0,7
48,No,Travel_Rarely,Research & Development,Technical Degree,1258,Male,1,Laboratory Technician,2,Single,2559,5,No,11,3,7,1,0,0,0
27,No,Travel_Rarely,Research & Development,Life Sciences,1259,Male,1,Research Scientist,3,Divorced,2517,1,No,11,3,5,5,3,0,3
29,No,Travel_Rarely,Research & Development,Life Sciences,1260,Male,2,Healthcare Representative,4,Divorced,6623,1,Yes,11,3,6,6,0,1,0
29,No,Travel_Rarely,Research & Development,Life Sciences,1264,Female,4,Research Director,4,Divorced,16124,3,No,14,3,9,7,7,1,7
34,No,Travel_Rarely,Research & Development,Technical Degree,1265,Female,1,Research Scientist,3,Married,2585,0,No,17,3,2,1,0,0,0
33,No,Travel_Rarely,Sales,Marketing,1268,Male,3,Sales Executive,3,Divorced,8380,0,Yes,14,3,10,9,8,0,8
19,No,Travel_Rarely,Research & Development,Life Sciences,1269,Female,1,Research Scientist,4,Single,2994,1,Yes,12,3,1,1,0,0,1
25,Yes,Travel_Frequently,Sales,Life Sciences,1273,Male,1,Sales Representative,4,Single,1118,1,Yes,14,3,1,1,0,1,0
34,No,Travel_Rarely,Sales,Marketing,1281,Female,2,Sales Executive,1,Single,4538,0,Yes,12,3,4,3,2,0,2
59,No,Travel_Rarely,Research & Development,Medical,1283,Male,3,Manufacturing Director,4,Single,10512,6,No,12,3,25,9,7,5,4
34,No,Travel_Frequently,Research & Development,Medical,1285,Female,2,Laboratory Technician,2,Divorced,4444,4,No,13,3,15,11,8,5,10
28,No,Travel_Frequently,Research & Development,Medical,1286,Male,1,Laboratory Technician,3,Single,2154,0,Yes,11,3,5,4,2,0,2
34,No,Travel_Frequently,Human Resources,Life Sciences,1289,Male,2,Human Resources,2,Married,4490,4,No,11,3,14,10,9,1,8
35,No,Travel_Rarely,Research & Development,Life Sciences,1291,Male,1,Research Scientist,3,Married,3506,0,Yes,14,3,4,3,2,2,2
42,No,Travel_Rarely,Research & Development,Medical,1292,Female,2,Research Scientist,2,Married,2372,6,Yes,16,3,18,1,0,0,0
44,Yes,Travel_Rarely,Research & Development,Medical,1295,Female,3,Healthcare Representative,4,Married,7978,1,No,11,3,10,10,7,0,5
28,No,Travel_Frequently,Research & Development,Life Sciences,1296,Male,1,Laboratory Technician,4,Married,3867,1,Yes,12,3,2,2,2,2,2
51,No,Travel_Frequently,Research & Development,Medical,1297,Female,1,Laboratory Technician,3,Single,2838,0,No,14,3,8,7,0,7,7
30,No,Non-Travel,Research & Development,Medical,1298,Female,2,Manufacturing Director,3,Single,4695,7,Yes,18,3,10,8,4,1,7
29,Yes,Travel_Rarely,Research & Development,Technical Degree,1299,Female,1,Laboratory Technician,3,Divorced,3339,3,Yes,13,3,10,7,7,7,7
28,No,Travel_Rarely,Research & Development,Technical Degree,1301,Male,1,Research Scientist,1,Single,2080,2,No,11,3,5,3,2,1,2
25,No,Travel_Rarely,Research & Development,Medical,1303,Female,1,Research Scientist,2,Single,2096,1,No,18,3,2,2,2,2,1
32,No,Travel_Rarely,Sales,Medical,1304,Male,2,Sales Executive,4,Married,6209,1,No,15,3,10,10,7,0,8
58,No,Travel_Rarely,Research & Development,Life Sciences,1308,Male,1,Research Scientist,3,Divorced,2372,1,No,12,3,2,2,2,2,2
32,Yes,Travel_Rarely,Research & Development,Life Sciences,1309,Male,2,Laboratory Technician,3,Married,4883,1,No,18,3,10,10,4,1,1
